lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR
6.56403814085328,51.3226227439944,0570758,RITTERSTRAßE,33,Säulen-Feldahorn,Acer campestre Green Column,2016
6.56414211314737,51.3227092530707,0570758,RITTERSTRAßE,28,Säulen-Feldahorn,Acer campestre Green Column,2016
6.56422761615501,51.3226873243315,0570758,RITTERSTRAßE,29,Säulen-Feldahorn,Acer campestre Green Column,2016
6.57379001431348,51.3248619514967,0570758,RITTERSTRAßE,60,Säulen-Feldahorn,Acer campestre Green Column,2016
6.56561923890302,51.3228761738934,0570758,RITTERSTRAßE,22,Säulen-Feldahorn,Acer campestre Green Column,2016
6.56712314829482,51.3305203032729,0470707,OSTWALL,62,Kaiserlinde,Tilia vulgaris Pallida,2016
6.56716165230172,51.3188999996954,0570716,PEMPELFURTSTRAßE,4,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2016
6.56719578639214,51.3231161066279,0570758,RITTERSTRAßE,18,Säulen-Feldahorn,Acer campestre Green Column,2016
6.58425311059817,51.332779234888,0470701,OPPUMER STRAßE,3,Schmalkronige Platane,Platanus acerifolia Tremonia,2016
6.56686659407666,51.3230658969953,0570758,RITTERSTRAßE,19,Säulen-Feldahorn,Acer campestre Green Column,2016
6.56624442563797,51.3229730955548,0570758,RITTERSTRAßE,20,Säulen-Feldahorn,Acer campestre Green Column,2016
6.5660343553958,51.3228360513619,0570758,RITTERSTRAßE,40,Säulen-Feldahorn,Acer campestre Green Column,2016
6.54603746987658,51.3375796100255,0170663,NEUER WEG,47,Kaiserlinde,Tilia vulgaris Pallida,2016
6.57288359420705,51.3191060017127,0570871,THYWISSENSTRAßE,14,Sorte des Feld-Ahorn,Acer campestre Lienco,2016
6.57569956221355,51.3526367558772,0270911,VOGELSANGSTRAßE,23,Sorte des Feld-Ahorn,Acer campestre Lienco,2016
6.57729450318452,51.3527011060917,0270911,VOGELSANGSTRAßE,13,Sorte des Feld-Ahorn,Acer campestre Lienco,2016
6.55758534413618,51.3351822311405,0470947,WESTWALL,57,Gewöhnliche Platane,Platanus x acerifolia,2016
6.60895155790801,51.3276465172779,0770934,WEETEKAMP,17,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2016
6.5732558750839,51.3364076805088,0470915,VON-BECKERATH-PLATZ,2,Tulpenbaum,Liriodendron tulipifera,2016
6.57350657733554,51.3362573030921,0470915,VON-BECKERATH-PLATZ,4,Tulpenbaum,Liriodendron tulipifera,2016
6.5735935352212,51.3362065562888,0470915,VON-BECKERATH-PLATZ,5,Tulpenbaum,Liriodendron tulipifera,2016
6.58983858457929,51.3363993462367,0770872,TIERGARTENSTRAßE,66,Papier-Birke,Betula papyrifera,2016
6.548929261555,51.3409103672127,0170799,SCHROERSSTRAßE,32,Kugelahorn,Acer platanoides Globosum,2016
6.60331524263812,51.3561478409914,E4_03,"Engerstraße, bei Peltzers",2,Kopfweide,Salix alba,2016
6.60336335887533,51.3561836395288,E4_03,"Engerstraße, bei Peltzers",1,Kopfweide,Salix alba,2016
6.58242218019683,51.3364533898925,0470828,SPRÖDENTALSTRAßE,38,Spitz-Ahorn,Acer platanoides,2016
6.57333989878114,51.3363578555693,0470915,VON-BECKERATH-PLATZ,1,Tulpenbaum,Liriodendron tulipifera,2016
