lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR,icon,color
6.62383121387236,51.3233509801332,0771109,HEINRICH-KLAUSMANN-STRAßE,40,Schmalkronige Gleditschie,Gleditsia triacanthos Skyline,2017,fa-leaf,green
6.55926470478952,51.3512934890723,0271148,JOSEF-LENDERS-DYK,12,Sorte des Amberbaums,Liquidambar styraciflua Paarl,2017,fa-leaf,green
6.55865304698808,51.3515781979647,0271148,JOSEF-LENDERS-DYK,9,Sorte des Amberbaums,Liquidambar styraciflua Paarl,2017,fa-leaf,green
6.58882469370659,51.3478189167439,0871006,HIRSCHFELDERSTRAßE,26,Sorte der Blumenesche,Fraxinus ornus Obelisk,2017,fa-leaf,green
6.62384700315556,51.3234465164338,0771109,HEINRICH-KLAUSMANN-STRAßE,41,Schmalkronige Gleditschie,Gleditsia triacanthos Skyline,2017,fa-leaf,green
6.58529092392829,51.320297414248,0571083,ALTE UNTERGATH,11,Schmalkronige Stadt- Ulme,Ulmus x hollandica Lobel,2017,fa-leaf,green
6.55899111047635,51.3513740311246,0271148,JOSEF-LENDERS-DYK,11,Sorte des Amberbaums,Liquidambar styraciflua Paarl,2017,fa-leaf,green
6.55983642107699,51.3509942441107,0271148,JOSEF-LENDERS-DYK,14,Sorte des Amberbaums,Liquidambar styraciflua Paarl,2017,fa-leaf,green
6.58893886261757,51.3475387817955,0871006,HIRSCHFELDERSTRAßE,23,Sorte der Blumenesche,Fraxinus ornus Obelisk,2017,fa-leaf,green
6.55956932571096,51.3310011225469,0470947,WESTWALL,25,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.53266958673485,51.3121576964629,0170976,ZUR ALTEN SCHMIEDE,36,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.57408245949321,51.3454211762737,0470956,WILHELMSHOFALLEE,51,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.55944845787832,51.3313001257538,0470947,WESTWALL,28,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.60937938929112,51.3270293794298,0770934,WEETEKAMP,29,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.60891692157844,51.32770801485,0770934,WEETEKAMP,18,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.6091426208446,51.3273431737003,0770934,WEETEKAMP,23,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.514652336633,51.3779616129087,0371425,AM KÖNIGSPARK,10,Sand-Birke,Betula pendula,2017,fa-leaf,green
6.5144693608024,51.3782950144336,0371425,AM KÖNIGSPARK,6,Sand-Birke,Betula pendula,2017,fa-leaf,green
6.50939555922349,51.3720599521033,0371587,SCHULSTRAßE,67,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.50663946650537,51.38038125555,0371557,KLEVER STRAßE,196,Gemeine Hainbuche,Carpinus betulus,2017,fa-leaf,green
