id;title;address;content;type;wish;lat;lng;icon;color
45;Gesamtschule Kaiserplatz;Kaiserplatz 31-50;Montage Außentreppe, inkl. Brandschutzkonzept;Brandschutz;;51.344476;6.590444;fa-building-o;blue
46;Gesamtschule Kaiserplatz;Kaiserplatz 31-50;Erneuerung Bodenbeläge;Verkehrssicherheit;x;51.344476;6.590444;fa-building-o;blue
47;Gesamtschule Kaiserplatz;Kaiserplatz 31-50;Sanierung Klassenräume;Raumsanierung;x;51.344476;6.590444;fa-building-o;blue
48;Gesamtschule Kaiserplatz;Kaiserplatz 31-50;Einbau Hocheffizienzpumpe;Energetische Sanierung;;51.344476;6.590444;fa-building-o;blue
49;Grundschule Kempener Allee;Kempener Allee 142;Sanierung Grundleitungen;Substanz;;51.341356;6.530377;fa-building-o;blue
50;Grundschule Kempener Allee;Kempener Allee 142;Einbau Sekuranten;Verkehrssicherheit;;51.341356;6.530377;fa-building-o;blue
51;Grundschule Kempener Allee;Kempener Allee 142;Sanierung Klassenräume und Treppenhäuser;Raumsanierung;x;51.341356;6.530377;fa-building-o;blue
52;Grundschule Kempener Allee, Turnhalle;Kempener Allee 142;Erneuerung Geräteraumtore und Prallwände;Sportstätte;;51.341356;6.530377;fa-building-o;blue
53;Grundschule Kempener Allee, Turnhalle;Kempener Allee 142;Einbau Sekuranten;Verkehrssicherheit;x;51.341356;6.530377;fa-building-o;blue
54;Grundschule Körnerstr.;Körnerstr. 17;Sanierung Grundleitungen;Substanz;x;51.363608;6.646081;fa-building-o;blue
55;Berufskolleg Uerdingen Alte;Krefelder Str. 93;Beseitigung Brandschutzmängel;Brandschutz;;51.350045;6.635564;fa-building-o;blue
56;Berufskolleg Uerdingen Alte;Krefelder Str. 93;Erneuerung Unterverteilungen;Brandschutz;;51.350045;6.635564;fa-building-o;blue
57;Berufskolleg Uerdingen Alte;Krefelder Str. 93;Sanierung Chemie Vorbereitung;Naturwissenschaft;x;51.350045;6.635564;fa-building-o;blue
58;Berufskolleg Uerdingen Alte;Krefelder Str. 93;Sanierung Klassenräume;Raumsanierung;x;51.350045;6.635564;fa-building-o;blue
