id;address;schooltype;title;content;type;2017;2018;2019;2020;2021;2022;finance;costs;comments;lat;lng;icon;color
78;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Rettungstreppe;Brandschutz;; ;x;x; ; ;;840000;;51.375494;6.588768;fa-graduation-cap;blue
79;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Austausch Haus-Alarm-Zentrale;Brandschutz;; ; ; ; ;x;;840000;;51.375494;6.588768;fa-graduation-cap;blue
80;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;840000;;51.375494;6.588768;fa-graduation-cap;blue
82;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Sanierung Sanitäranlagen;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;505000;;51.357253;6.634335;fa-graduation-cap;blue
83;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Digitalisierung;Digitalisierung;; ; ; ; ;x;Gute Schule 2020-Mittel;505000;;51.357253;6.634335;fa-graduation-cap;blue
84;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Einrichtung Pausenausleihe;Nutzung;; ; ; ; ;x;;505000;;51.357253;6.634335;fa-graduation-cap;blue
85;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Sanierung Flure u. Treppenhäuser;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;505000;;51.357253;6.634335;fa-graduation-cap;blue
86;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Flügel  Straßenseite, Flure, Einbau Akustikdecke;Brandschutz;;x; ; ; ; ;;505000;;51.357253;6.634335;fa-graduation-cap;blue
87;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Erneuerung Fenster;Gebäudehülle;; ; ; ;x;;;505000;;51.357253;6.634335;fa-graduation-cap;blue
88;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Sanierung Klassenräume;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;505000;;51.357253;6.634335;fa-graduation-cap;blue
89;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;505000;;51.357253;6.634335;fa-graduation-cap;blue
91;Bellenweg 50;Grundschule;Forstwaldschule;Erneuerung Haus-Alarm-Zentrale (Rest aus 2017);Brandschutz;;x; ; ; ; ;;630000;;51.302289;6.505864;fa-graduation-cap;blue
92;Bellenweg 50;Grundschule;Forstwaldschule;Bodensanierung Flurbereich Waldseite;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;630000;;51.302289;6.505864;fa-graduation-cap;blue
93;Bellenweg 50;Grundschule;Forstwaldschule;Digitalisierung;Digitalisierung;; ;x; ; ;;Gute Schule 2020-Mittel;630000;;51.302289;6.505864;fa-graduation-cap;blue
94;Bellenweg 50;Grundschule;Forstwaldschule;Sanierung Klassenräume;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;630000;;51.302289;6.505864;fa-graduation-cap;blue
95;Bellenweg 50;Grundschule;Forstwaldschule;Erneuerung Holzfenster;Gebäudehülle;; ; ;x; ;;;630000;;51.302289;6.505864;fa-graduation-cap;blue
96;Bellenweg 50;Grundschule;Forstwaldschule;Dachsanierung;Gebäudehülle;; ; ; ; ;x;;630000;;51.302289;6.505864;fa-graduation-cap;blue
97;Bellenweg 50;Grundschule;Forstwaldschule;Sanierung Sanitäranlagen;Sanierung;; ; ; ;x;;;630000;;51.302289;6.505864;fa-graduation-cap;blue
98;Bellenweg 50;Grundschule;Forstwaldschule;Turnhalle, Austausch verzinkte Stahlleitungen;Sanierung;; ; ; ;x;;;630000;;51.302289;6.505864;fa-graduation-cap;blue
99;Bellenweg 50;Grundschule;Forstwaldschule;Brandschutzkonzept und Umsetzung;Brandschutz;;x;;;;;;630000;;51.302289;6.505864;fa-graduation-cap;blue
100;Bellenweg 50;Grundschule;Forstwaldschule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;630000;;51.302289;6.505864;fa-graduation-cap;blue
102;Fungendonk 31;Grundschule ;Geschwister-Scholl;Einbau HAZ;Brandschutz;;x;; ; ; ;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
103;Fungendonk 31;Grundschule ;Geschwister-Scholl;Holzhaus/Bücherei Dachsanierung;Gebäudehülle;;x;;  ; ; ;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
104;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Fenster/Türen HM-Loge;Gebäudehülle;; ;x; ; ; ;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
105;Fungendonk 31;Grundschule ;Geschwister-Scholl;Digitalisierung;Digitalisierung;; ; ;x; ; ;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
106;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Sanitäranlagen;Sanierung;; ;x; ; ; ;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
107;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Klassenräume;Sanierung;; ;x;; ; ;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
108;Fungendonk 31;Grundschule ;Geschwister-Scholl;Dachsanierung;Gebäudehülle;; ;;x; ; ;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
109;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Flure und Treppenhäuser;Sanierung;; ;x;; ; ;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
110;Fungendonk 31;Grundschule ;Geschwister-Scholl;Dämmung Fassade;Gebäudehülle;; ; ;x; ; ;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
